Enter client name: H. I. Falutin
Enter address of property: 8 Swanky Lane
Enter purchase price: 1420000
Enter down payment percentage (minimum  20.000): 20
Down payment amount is $284000
Mortgage insurance price is $0
Total mortgage amount is $1136000
Enter mortgage term (1, 2, 3, 5, 10): 22
Please enter a valid choice
Enter your Mortgage term (1, 2, 3, 5, 10): 2
Enter mortgage Amortization Period (5, 10, 15, 20, 25): 10
Interest rate for the term will be 5.90%
Monthly payment amount is: $12514
Would you like to see the amortization schedule? (Y/N): y
                                Monthly Amortization Schedule

   Month      Opening Bal          Payment        Principal         Interest      Closing Bal
       1       1136000.00         12514.46          6996.57          5517.89       1129003.43
       2       1129003.43         12514.46          7030.55          5483.91       1121972.88
       3       1121972.88         12514.46          7064.70          5449.76       1114908.17
       4       1114908.17         12514.46          7099.02          5415.44       1107809.15
       5       1107809.15         12514.46          7133.50          5380.96       1100675.65
       6       1100675.65         12514.46          7168.15          5346.31       1093507.50
       7       1093507.50         12514.46          7202.97          5311.49       1086304.53
       8       1086304.53         12514.46          7237.96          5276.51       1079066.57
       9       1079066.57         12514.46          7273.11          5241.35       1071793.46
      10       1071793.46         12514.46          7308.44          5206.02       1064485.02
      11       1064485.02         12514.46          7343.94          5170.52       1057141.08
      12       1057141.08         12514.46          7379.61          5134.85       1049761.47
      13       1049761.47         12514.46          7415.46          5099.01       1042346.01
      14       1042346.01         12514.46          7451.48          5062.99       1034894.54
      15       1034894.54         12514.46          7487.67          5026.79       1027406.87
      16       1027406.87         12514.46          7524.04          4990.42       1019882.83
      17       1019882.83         12514.46          7560.59          4953.88       1012322.24
      18       1012322.24         12514.46          7597.31          4917.15       1004724.93
      19       1004724.93         12514.46          7634.21          4880.25        997090.72
      20        997090.72         12514.46          7671.29          4843.17        989419.43
      21        989419.43         12514.46          7708.56          4805.91        981710.87
      22        981710.87         12514.46          7746.00          4768.46        973964.87
      23        973964.87         12514.46          7783.62          4730.84        966181.25
      24        966181.25         12514.46          7821.43          4693.03        958359.82
===============================================================================================
Total                                             177640.18        122706.92
